gene	chromosome	start	end
MOGS	2	74688184	74692537
MRPL53	2	74699085	74700449
CCDC142	2	74699113	74710535
TTC31	2	74710200	74722013
LBX2	2	74724644	74730443
LBX2-AS1	2	74729722	74731805
PCGF1	2	74732170	74735707
TLX2	2	74740590	74744274
DQX1	2	74745258	74753463
AUP1	2	74753772	74757066
HTRA2	2	74756504	74760472
LOXL3	2	74759541	74782817
DOK1	2	74776153	74784681
M1AP	2	74785010	74875465
TOR1BP1	2	74845983	74848106
TVP23BP2	2	74855455	74856069
SEMA4F	2	74881355	74909186
RPS28P5	2	74981797	74981946
HK2-DT	2	75059782	75061114
HK2	2	75061108	75120486
LINC01291	2	75145275	75165545
LINC01293	2	75167385	75169797
POLE4	2	75185619	75197255
TACR1	2	75273590	75426826
MIR5000	2	75317939	75318041
GAPDHP57	2	75683120	75683704
EVA1A	2	75696428	75796848
EVA1A-AS	2	75751194	75769832
MRPL19	2	75873909	75917977
SUPT4H1P1	2	75878414	75878753
GCFC2	2	75879126	75938115
SUCLA2P2	2	76333142	76334450
PNPP1	2	76485160	76486023
USP21P2	2	76487881	76488787
RN7SKP203	2	76672205	76672536
RN7SKP164	2	76822539	76822804
LRRTM4	2	76974845	77820445
RNA5SP98	2	77000035	77000171
LRRTM4-AS1	2	77213091	77236917
RPL38P2	2	78015508	78020213
LINC01851	2	78143060	78145135
CYCSP6	2	78639919	78640220
RNU6-827P	2	79109573	79109678
RNU6-812P	2	79109754	79109860
REG3G	2	79252812	79255631
REG1B	2	79312156	79315145
REG1A	2	79347488	79350545
REG1CP	2	79362629	79365553
REG3A	2	79384132	79386879
CTNNA2	2	79412357	80875905
CTNNA2-AS1	2	79720842	79727970
GNA13P1	2	79800890	79802719
RNU6-561P	2	79863988	79864089
MIR4264	2	79876420	79876485
RBM7P1	2	80389554	80390261
LRRTM1	2	80515483	80531874
ANKRD11P1	2	81421461	81428308
CHMP4AP1	2	81645847	81646426
LINC01815	2	81689819	81694070
RNA5SP99	2	81723338	81723451
RN7SL201P	2	82194203	82194496
LYARP1	2	82495551	82497051
RNU6-685P	2	82495736	82495830
RBX1P1	2	82836776	82837101
MTND4P25	2	83042108	83042640
MTND5P27	2	83042933	83044652
MTND6P7	2	83044662	83045185
MTCYBP7	2	83045255	83046388
DHFRP3	2	83083927	83084885
LINC01809	2	83749938	83750626
RPL37P10	2	83822080	83822367
RNU6-1312P	2	83884859	83884966
CRLF3P3	2	84258264	84259482
ST6GALNAC2P1	2	84267009	84267844
FUNDC2P2	2	84517806	84519326
SUCLG1	2	84650647	84687169
DNAH6	2	84743579	85046713
DUXAP1	2	84977893	84978355
LDHAP7	2	85004383	85005347
TRABD2A	2	85048774	85134132
RPL12P18	2	85101820	85102144
TMSB10	2	85132749	85133795
RPS2P17	2	85142910	85143789
KCMF1	2	85198216	85286595
LINC01964	2	85291231	85294470
LSM3P3	2	85329512	85329817
TCF7L1	2	85360533	85537511
TCF7L1-IT1	2	85413532	85414376
RNU6-674P	2	85432049	85432155
SNRPEP11	2	85489267	85489390
TGOLN2	2	85545147	85555548
PEBP1P2	2	85568404	85568961
RETSAT	2	85569211	85581743
ELMOD3	2	85581517	85618875
RN7SL113P	2	85595405	85595701
CAPG	2	85621871	85645555
SH2D6	2	85645844	85664152
RN7SL251P	2	85669618	85669912
RPSAP22	2	85718053	85718903
MAT2A	2	85766288	85772403
GGCX	2	85771846	85788670
VAMP8	2	85788685	85809154
RN7SL126P	2	85794787	85795083
VAMP5	2	85811531	85820535
RNF181	2	85822848	85824736
TMEM150A	2	85825671	85830319
USP39	2	85829979	85876403
C2orf68	2	85833777	85839189
SFTPB	2	85884437	85895864
GNLY	2	85912298	85925977
GPR160P1	2	85913176	85914170
RNU1-38P	2	85955317	85955460
ATOH8	2	85978467	86015189
RN7SKP83	2	86047558	86047735
ST3GAL5	2	86066267	86116137
ST3GAL5-AS1	2	86116403	86118103
POLR1A	2	86247339	86333278
PTCD3	2	86333305	86369280
SNORD94	2	86362993	86363129
IMMT	2	86371055	86422893
MIR4779	2	86420149	86420231
MRPL35	2	86426478	86440917
REEP1	2	86441116	86565206
KDM3A	2	86667770	86719839
CHMP3	2	86730554	86948245
RNF103-CHMP3	2	86732791	86948245
RNU6-640P	2	86742327	86742431
RNF103	2	86830516	86850989
RMND5A	2	86947296	87005164
CD8A	2	87011729	87035519
CD8B	2	87042462	87089047
ANAPC1P1	2	87098424	87149816
RGPD1	2	87135076	87241104
WBP1P1	2	87157373	87157877
NDUFB4P5	2	87161585	87161945
PLGLB1	2	87229682	87248975
ANAPC1P2	2	87257800	87303536
ANAPC1P3	2	87345657	87348103
MIR4771-1	2	87421909	87421982
CENPNP1	2	87448236	87449611
DBF4P3	2	87528781	87529374
IGKV3OR2-268	2	87565634	87566158
CYTOR	2	87754887	87906324
PAFAH1B1P1	2	87865347	87866283
MIR4435-1	2	87929274	87929353
RPS14P5	2	87954409	87954762
ANAPC1P4	2	88000503	88038766
PLGLB2	2	88047606	88058312
RGPD2	2	88055474	88285309
MTATP8P2	2	88124461	88124662
NDUFB4P7	2	88268128	88268490
WBP1P2	2	88272175	88272601
RNU2-63P	2	88315873	88316066
KRCC1	2	88326724	88355248
SMYD1	2	88367299	88412906
MIR4780	2	88382038	88382118
FABP1	2	88422510	88427635
THNSL2	2	88469835	88486146
MRPL45P1	2	88664214	88665127
RNU6-1168P	2	88683013	88683116
RNU6-1007P	2	88714417	88714523
RPL38P6	2	88727597	88728134
FOXI3	2	88747726	88752131
TEX37	2	88824169	88829102
EIF2AK3	2	88856259	88927094
EIF2AK3-DT	2	88927057	88931339
RPIA	2	88991162	89050452
ANKRD36BP2	2	89065324	89106126
MIR4436A	2	89111884	89111968
IGKC	2	89156674	89157196
IGKJ5	2	89160080	89160117
IGKJ4	2	89160398	89160434
IGKJ3	2	89160733	89160770
IGKJ2	2	89161037	89161074
IGKJ1	2	89161398	89161435
IGKV4-1	2	89184913	89185669
IGKV5-2	2	89196748	89197300
IGKV7-3	2	89214597	89214894
PGBD4P5	2	89221844	89222269
IGKV2-4	2	89231184	89231898
IGKV1-5	2	89246819	89247475
IGKV1-6	2	89265781	89266286
IGKV3-7	2	89277987	89278600
IGKV1-8	2	89291928	89292450
IGKV1-9	2	89309479	89310012
IGKV2-10	2	89319489	89320183
IGKV3-11	2	89326668	89327228
IGKV1-12	2	89339721	89340242
IGKV1-13	2	89345492	89345963
IGKV2-14	2	89377506	89378280
IGKV3-15	2	89384673	89385283
IGKV1-16	2	89399352	89399854
IGKV1-17	2	89416833	89417335
IGKV2-18	2	89428207	89428966
IGKV2-19	2	89434458	89434740
IGKV3-20	2	89442057	89442643
IGKV6-21	2	89459235	89459850
IGKV1-22	2	89470259	89470696
IGKV2-23	2	89471506	89472037
IGKV2-24	2	89475812	89476644
IGKV3-25	2	89491988	89492240
IGKV2-26	2	89495584	89496317
IGKV1-27	2	89512908	89513413
IGKV2-28	2	89521179	89521942
IGKV2-29	2	89533655	89534393
IGKV2-30	2	89544264	89545079
IGKV3-31	2	89551697	89552222
IGKV1-32	2	89553057	89553501
IGKV1-33	2	89567758	89568263
IGKV3-34	2	89575056	89575545
IGKV1-35	2	89586446	89586730
IGKV2-36	2	89594990	89595212
IGKV1-37	2	89597021	89597542
IGKV2-38	2	89609655	89609901
IGKV1-39	2	89619383	89619904
IGKV2-40	2	89629873	89630186
IGKV2D-40	2	89890601	89891307
IGKV1D-39	2	89901292	89901791
IGKV2D-38	2	89911273	89911512
IGKV1D-37	2	89923550	89924026
IGKV2D-36	2	89925832	89926057
IGKV1D-35	2	89934312	89934582
IGKV3D-34	2	89945567	89946056
IGKV1D-33	2	89952792	89953355
IGKV1D-32	2	89967232	89967677
IGKV3D-31	2	89968511	89969012
IGKV2D-30	2	89975669	89976489
IGKV2D-29	2	89986322	89987079
IGKV2D-28	2	89998789	89999564
IGKV1D-27	2	90007677	90008154
IGKV2D-26	2	90024732	90025512
IGKV3D-25	2	90028797	90029031
IGKV2D-24	2	90043607	90044439
IGKV2D-23	2	90048212	90048737
IGKV1D-22	2	90049551	90049994
IGKV6D-21	2	90060377	90060995
IGKV3D-20	2	90077680	90078311
IGKV2D-19	2	90085628	90085889
IGKV2D-18	2	90091427	90092218
IGKV6D-41	2	90108504	90109080
IGKV1D-17	2	90121477	90122133
IGKV1D-16	2	90139078	90139580
IGKV3D-15	2	90153696	90154258
IGKV2D-14	2	90160638	90161416
IGKV1D-13	2	90192768	90193424
IGKV1D-12	2	90198535	90199190
IGKV3D-11	2	90211643	90212253
IGKV2D-10	2	90218730	90219428
IGKV1D-42	2	90229045	90229531
IGKV1D-43	2	90248739	90249395
IGKV1D-8	2	90259593	90260248
IGKV1OR2-118	2	90458201	90458671
IGKV3D-7	2	90537839	90538397
LSP1P4	2	91805186	91847998
RNA5SP100	2	91862883	91862992
DRD5P1	2	91872473	91874507
NKAIN1P2	2	91911049	91911631
KMT5AP2	2	91935966	91937021
GGT8P	2	91963970	91969195
IGKV1OR2-1	2	92005797	92006650
ABCD1P5	2	92028627	92031828
PABPC1P6	2	92065995	92068221
SLC9B1P2	2	92071102	92119740
ACTR3BP2	2	92128694	92130496
CHEK2P3	2	92145462	92151636
IGKV1OR2-2	2	92222172	92223026
CNN2P11	2	95391419	95391680
GXYLT1P7	2	95400400	95401589
CNN2P8	2	95403082	95403994
CYP4F32P	2	95425004	95426024
SNX18P14	2	95452433	95453006
ANKRD20A8P	2	95476791	95523027
RNU6-1320P	2	95512278	95512384
TEKT4	2	95537178	95542574
MTCO1P48	2	95565311	95566406
MTCO3P45	2	95566735	95567347
RPS24P6	2	95578177	95578576
RN7SL575P	2	95669292	95669588
MAL	2	95691422	95719737
MRPS5	2	95752952	95815179
ZNF514	2	95813075	95831158
ZNF2	2	95831177	95850065
PROM2	2	95940201	95957056
KCNIP3	2	95963052	96051825
FABP7P2	2	96034255	96034633
FAHD2A	2	96068469	96082364
UBTFL5	2	96111911	96122840
TRIM43B	2	96142715	96150479
TRIM64FP	2	96180575	96185855
OR7E102P	2	96212279	96213315
TRIM51JP	2	96240647	96246512
TRIM43	2	96257766	96265526
UBTFL3	2	96285392	96296321
GPAT2P1	2	96455402	96465914
LINC00342	2	96472866	96481963
ANKRD36C	2	96514587	96657541
RN7SL210P	2	96670313	96670601
FAHD2CP	2	96676299	96689128
GPAT2	2	96687694	96705199
ADRA2B	2	96778707	96781984
ASTL	2	96789589	96804175
DUSP2	2	96808905	96811179
STARD7	2	96850597	96874563
STARD7-AS1	2	96874154	96908359
TMEM127	2	96914254	96931732
CIAO1	2	96931870	96939087
SNRNP200	2	96940074	96971297
ITPRIPL1	2	96991069	96994091
NCAPH	2	97001525	97039583
NEURL3	2	97163383	97173846
ARID5A	2	97202480	97218375
KANSL3	2	97258907	97308524
FER1L5	2	97308474	97370624
LMAN2L	2	97371666	97405801
CNNM4	2	97426639	97477628
MIR3127	2	97464015	97464090
CNNM3-DT	2	97477976	97479394
CNNM3	2	97481982	97499648
ANKRD23	2	97490263	97523671
ANKRD39	2	97502348	97523832
SEMA4C	2	97525453	97536494
FAM178B	2	97541620	97684175
RNA5SP101	2	97622445	97622552
TRIM43CP	2	97691718	97697373
IGKV2OR2-1	2	97712325	97712628
IGKV2OR2-2	2	97716466	97716765
IGKV1OR2-3	2	97725682	97726152
GPAT2P2	2	97746835	97748986
FAHD2B	2	97749320	97760619
RN7SL313P	2	97766321	97766609
ANKRD36	2	97779233	97930258
IGKV1OR2-11	2	97987331	97987617
IGKV2OR2-10	2	97996726	97997025
IGKV2OR2-7D	2	98000864	98001167
IGKV1OR2-6	2	98018364	98018640
IGKV3OR2-5	2	98024520	98024800
IGKV2OR2-7	2	98037725	98038028
IGKV2OR2-8	2	98041867	98042166
IGKV1OR2-9	2	98051276	98051562
ANKRD36B	2	98108978	98206428
UBTFL6	2	98253060	98254266
COX5B	2	98262503	98264846
ACTR1B	2	98272431	98280570
C2orf92	2	98280680	98319527
RNU4-8P	2	98281054	98281194
ZAP70	2	98330023	98356325
TMEM131	2	98372799	98612388
HMGN1P36	2	98443711	98444013
RNU7-96P	2	98529517	98529580
VWA3B	2	98703579	98929762
ATP5F1BP1	2	98822614	98824187
CNGA3	2	98962618	99015064
INPP4A	2	99061317	99210853
COA5	2	99215773	99224978
UNC50	2	99225042	99234978
MGAT4A	2	99235569	99347589
YWHAQP5	2	99310572	99311953
LINC02611	2	99378401	99388543
RNU4-84P	2	99398873	99399011
CRACDL	2	99410309	99552722
RNU7-46P	2	99457138	99457199
TSGA10	2	99613724	99771427
SMC3P1	2	99718481	99719215
C2orf15	2	99757948	99767950
LIPT1	2	99771418	99779620
MITD1	2	99777890	99797521
MRPL30	2	99797542	99814089
LYG2	2	99858709	99871745
LYG1	2	99900701	99921205
TXNDC9	2	99935445	99957165
EIF5B	2	99953816	100017789
REV1	2	100016938	100106497
AFF3	2	100162323	100759201
LINC01104	2	100824716	100867946
LONRF2	2	100889753	100939195
CYCSP7	2	100986705	100987007
CHST10	2	101008327	101034118
RALBP1P2	2	101041810	101042569
NMS	2	101086944	101099742
ARPP19P2	2	101125739	101126077
PDCL3	2	101179152	101193197
HMGN2P22	2	101207612	101207786
LINC01849	2	101223490	101225820
NANOGNBP1	2	101276661	101277140
LINC01868	2	101286354	101292500
NPAS2	2	101436614	101613291
NPAS2-AS1	2	101589110	101593623
RPL31	2	101618177	101640494
TBC1D8	2	101624079	101869328
BBIP1P1	2	101684840	101685118
TBC1D8-AS1	2	101768122	101771872
CNOT11	2	101869264	101886778
RNF149	2	101887681	101925163
SNORD89	2	101889398	101889511
MIR5696	2	101925912	101925996
CREG2	2	101962013	102004057
RFX8	2	102013823	102091165
LINC01870	2	102095852	102103284
RPS6P3	2	102125992	102126684
PRCPP1	2	102137296	102138438
MAP4K4	2	102313312	102511149
IL1R2	2	102608306	102645006
IL1R1	2	102681004	102796334
IL1R1-AS1	2	102789081	102798568
IL1RL2	2	102803433	102856462
FAM183DP	2	102866317	102866715
IL1RL1	2	102927962	102968497
IL18R1	2	102927989	103015218
SDR42E1P5	2	103027703	103028568
IL18RAP	2	103035149	103069025
MIR4772	2	103048749	103048826
SLC9A4	2	103089762	103150431
SLC9A2	2	103236166	103327777
MFSD9	2	103332299	103353347
TMEM182	2	103353367	103460352
LINC01935	2	103583866	103600887
CRLF3P1	2	104110699	104112300
CAPZBP1	2	104240088	104240288
LINC01965	2	104490768	104694236
AHCYP3	2	105011460	105012738
LINC01831	2	105028685	105030466
LINC01102	2	105049725	105137290
LINC01103	2	105104916	105126967
RPL23AP27	2	105294681	105295131
LINC01114	2	105363096	105374177
HMGB3P11	2	105387740	105388343
PANTR1	2	105424030	105469641
POU3F3	2	105471969	105476929
LINC01159	2	105481955	105489053
MRPS9-AS2	2	105552869	105654954
MRPS9	2	105654441	105716418
MRPS9-AS1	2	105713510	105719402
LINC01918	2	105760571	105761882
GPR45	2	105858200	105859924
TGFBRAP1	2	105880871	105946491
C2orf49-DT	2	105950484	105953932
C2orf49	2	105953816	105965668
FHL2	2	105974169	106054970
NCK2	2	106361354	106510730
ECRG4	2	106679702	106694615
UXS1	2	106709759	106810795
RPL22P10	2	106863825	106864197
SRSF3P4	2	106869687	106870173
RPS21P2	2	106905259	106905509
RPL27AP4	2	106921211	106921653
ILRUNP1	2	106961022	106961889
ANAPC1P6	2	106986180	106994703
PLGLA	2	106998562	107010027
RGPD3	2	107021446	107084832
CD8B2	2	107103824	107123396
EEF1A1P12	2	107313787	107315132
ST6GAL2	2	107418056	107503564
ST6GAL2-IT1	2	107439379	107441487
PPP1R2P5	2	107557336	107557938
LINC01789	2	107871147	107982329
LINC01885	2	108002088	108159105
LINC01886	2	108145943	108172782
GACAT1	2	108370568	108438585
RGPD4-AS1	2	108439519	108443347
RGPD4	2	108443388	108507297
RPL22P8	2	108531404	108531742
SRSF3P5	2	108537219	108537704
SLC5A7	2	108602979	108630450
LINC01593	2	108665656	108669211
ACTP1	2	108715566	108715948
LINC01594	2	108784204	108834297
SETD6P1	2	108842471	108842787
SULT1C3	2	108863651	108881807
WASF1P1	2	108893268	108894398
SULT1C2	2	108905095	108926371
SULT1C2P2	2	108934181	108935067
SULT1C2P1	2	108938694	108970255
GMCL1P2	2	108983572	108984394
SULT1C4	2	108994367	109004513
SMIM12P1	2	109040068	109040341
GCC2	2	109065017	109125871
GCC2-AS1	2	109123971	109150652
LIMS1	2	109150857	109303702
LIMS1-AS1	2	109293251	109295057
RPL10P5	2	109328718	109329356
RANBP2	2	109335937	109402267
CCDC138	2	109403213	109501933
RPL39P16	2	109494764	109494916
EDAR	2	109510927	109605828
SH3RF3-AS1	2	109743783	109745386
SH3RF3	2	109745804	110262207
MIR4265	2	109757946	109758044
SNRPGP9	2	109867878	109868102
MIR4266	2	109930027	109930081
SEPTIN10	2	110300559	110371783
RPL37P12	2	110310113	110310423
SOWAHC	2	110371911	110376563
BMS1P19	2	110424705	110425579
SRSF3P6	2	110490308	110490713
RPL22P11	2	110494713	110495100
RGPD5	2	110550335	110615272
LIMS3	2	110656005	110677180
GPAA1P1	2	110741635	110742565
ZBTB45P1	2	110744516	110745971
LINC01123	2	110744640	110753717
MIR4267	2	110827538	110827619
MALL	2	110841447	110874143
MIR4436B1	2	110844010	110844100
NPHP1	2	110879888	110962643
ACTR1AP1	2	110941631	110942756
MTLN	2	110969106	111002997
MIR4436B2	2	111042430	111042520
LINC01106	2	111132715	111142019
ZBTB45P2	2	111140689	111142219
GPAA1P2	2	111143954	111145740
LIMS4	2	111222628	111230511
RGPD6	2	111271389	111334762
RPL22P12	2	111391524	111391910
BUB1	2	111395275	111435691
ACOXL	2	111490150	111875799
RPL5P9	2	111725411	111726296
ACOXL-AS1	2	111855922	111873165
BCL2L11	2	111876955	111926024
MIR4435-2HG	2	111953927	112252677
RPS14P4	2	112053206	112053623
MIR4435-2	2	112078589	112078668
PAFAH1B1P2	2	112141329	112142569
SOCAR	2	112248850	112268567
DBF4P2	2	112315990	112317514
RPL34P8	2	112432603	112432920
CENPNP2	2	112500163	112502239
ANAPC1	2	112523848	112642267
MIR4771-2	2	112528638	112528711
EEF1E1P1	2	112645491	112646318
MERTK	2	112656056	112787138
RN7SL297P	2	112687752	112688041
RTRAFP1	2	112697879	112698613
SLC30A6P1	2	112709721	112710248
TMEM87B	2	112812800	112876895
FBLN7	2	112895962	112945791
ZC3H8	2	112969102	113012713
ZC3H6	2	113033171	113097640
NDUFB4P6	2	113043634	113043999
RGPD8	2	113127669	113192065
TTL	2	113239731	113299316
POLR1B	2	113299492	113334635
CHCHD5	2	113341817	113346852
SLC20A1	2	113403434	113421404
NT5DC4	2	113479063	113500456
CKAP2L	2	113493930	113522254
IL1A	2	113531492	113542167
IL1B	2	113587328	113594480
XIAPP3	2	113610905	113611699
IL37	2	113670548	113676459
CDK8P2	2	113690202	113690748
IL36G	2	113730780	113743242
HMGN2P23	2	113738743	113739011
POLR2DP1	2	113753094	113753514
IL36A	2	113763038	113765621
IL36B	2	113779668	113810444
IL36RN	2	113816215	113822959
IL1F10	2	113825547	113833427
RNU6-1180P	2	113844382	113844488
IL1RN	2	113864791	113891593
PSD4	2	113914902	113966973
PAX8-AS1	2	113969099	114034158
PAX8	2	113973574	114036527
IGKV1OR2-108	2	114163973	114164486
CBWD2	2	114195268	114253766
FOXD4L1	2	114256661	114258728
LINC01961	2	114270040	114273062
PGM5P4-AS1	2	114285145	114300249
PGM5P4	2	114299514	114320875
FAM138B	2	114334959	114336429
MIR1302-3	2	114340536	114340673
WASH2P	2	114341664	114356655
DDX11L2	2	114356606	114359144
RPL23AP7	2	114368079	114384667
RABL2A	2	114384806	114400973
SNRPA1P1	2	114415485	114416252
ACRP1	2	114425055	114426198
RNU6-744P	2	114438688	114438794
SLC35F5	2	114462588	114514400
MIR4782	2	114478867	114478945
ACTR3	2	114647537	114720173
LINC01191	2	114737146	114764879
SEPHS1P7	2	115017627	115018803
RNU2-41P	2	115177702	115177879
DPP10	2	115199876	116603328
DPP10-AS3	2	115586009	115591125
DPP10-AS2	2	115591407	115593165
DPP10-AS1	2	115888512	115918920
RPSAP23	2	116225632	116226514
MTCYBP39	2	117508734	117509224
MTND1P28	2	117781494	117782443
MTND2P21	2	117782653	117783694
MTCO1P43	2	117784113	117784600
RNU7-190P	2	117897291	117897351
DDX18	2	118572226	118589955
HTR5BP	2	118617003	118692518
CCDC93	2	118673054	118771709
RN7SL111P	2	118773958	118774243
INSIG2	2	118846028	118868573
THORLNC	2	118889704	118943962
LINC01956	2	119591276	119592686
EN1	2	119599747	119605254
MARCO	2	119699742	119752236
C1QL2	2	119913819	119916465
RN7SL468P	2	119927398	119927691
STEAP3	2	119981384	120023228
STEAP3-AS1	2	120001998	120006647
C2orf76	2	120059801	120124404
DBI	2	120124497	120130126
TMEM37	2	120187477	120196096
SCTR	2	120197419	120282070
SCTR-AS1	2	120234024	120244922
CFAP221	2	120302008	120419827
TMEM177	2	120436743	120444083
RPL17P15	2	120456199	120457733
PTPN4	2	120517207	120741394
RPL27P7	2	120750775	120751187
EPB41L5	2	120770581	120936695
MTATP6P26	2	120968630	120969291
MTCO3P43	2	120969303	120970438
MTND3P10	2	120970511	120970851
MTND4LP14	2	120970920	120971207
MTND4P26	2	120971207	120972565
MTND5P28	2	120972757	120974855
TMEM185B	2	120978854	120980984
RALB	2	120997640	121052289
INHBB	2	121103719	121109384
LINC01101	2	121221911	121223697
GLI2	2	121493199	121750229
TFCP2L1	2	121974163	122042783
RPS17P7	2	122067571	122067988
CLASP1	2	122095352	122407163
CLASP1-AS1	2	122287998	122290281
RNU4ATAC	2	122288457	122288583
NIFK-AS1	2	122407226	122485784
RPL12P15	2	122416051	122416549
NPM1P32	2	122466088	122466691
NIFK	2	122484521	122494499
TSN	2	122494679	122525429
LINC01823	2	122548020	122554278
LINC01826	2	123823727	123831057
ELOAP1	2	124452878	124454972
PSMD14P1	2	124519747	124520647
RN7SKP102	2	124626833	124627147
CNTNAP5	2	124782864	125672864
MTND5P22	2	125438299	125438493
RNA5SP102	2	125690492	125690597
RNU6-259P	2	125746796	125746902
LINC01889	2	126468546	126523419
LINC01941	2	126867676	126875562
SLC6A14P3	2	127069043	127069504
YWHAZP2	2	127315012	127315739
GYPC	2	127413509	127454246
RNU6-675P	2	127460415	127460518
TEX51	2	127656472	127659673
RNU7-182P	2	127774997	127775058
BIN1	2	127805603	127864931
NIFKP9	2	127927587	127927807
CYP27C1	2	127941696	127977654
WBP11P2	2	128004834	128007658
ERCC3	2	128014866	128051752
MAP3K2	2	128056306	128146041
RNU6-1147P	2	128074449	128074555
MAP3K2-DT	2	128146706	128158156
PROC	2	128176003	128186822
MIR4783	2	128181113	128181194
IWS1	2	128193783	128284462
RNU4-48P	2	128229810	128229991
MYO7B	2	128293378	128395304
LIMS2	2	128395956	128439360
GPR17	2	128403439	128410213
WDR33	2	128458596	128568761
SFT2D3	2	128458597	128461385
RNY4P7	2	128556477	128556572
RNU6-395P	2	128602810	128602915
POLR2D	2	128603840	128615731
RPS26P19	2	128604310	128604658
AMMECR1L	2	128619204	128643496
SAP130	2	128698791	128785694
UGGT1	2	128848774	128953251
SRMP3	2	128897366	128898090
DYNLT3P2	2	128957475	128957769
RPL14P6	2	128960935	128961349
RPL21P34	2	128975162	128975646
HS6ST1	2	128994290	129076151
RNA5SP103	2	129202655	129202772
ISCA1P6	2	129276362	129276751
LINC01854	2	129999746	130031421
PPIAP65	2	130253870	130254361
LINC02572	2	130626766	130635126
PLAC9P1	2	130680435	130691890
LINC01856	2	130680750	130704276
RPL22P7	2	130697421	130697790
RAB6C-AS1	2	130724165	130738039
RAB6C	2	130737235	130740311
FAR2P1	2	130748029	130808704
ARHGAP42P2	2	130763773	130766696
KLF2P1	2	130794531	130795995
CYP4F27P	2	130805999	130807013
POTEF	2	130831108	130886795
POTEF-AS1	2	130865257	130867314
RNU6-1049P	2	130866777	130866883
MED15P9	2	130887194	130896990
CCDC74B	2	130896860	130902707
SMPD4	2	130908981	130940323
MZT2B	2	130939310	130948302
TUBA3E	2	130949318	130956034
RHOQP3	2	130970443	130971063
NOC2LP1	2	130986949	130989679
MED15P5	2	131009141	131010132
MTND1P29	2	131028169	131029845
MTND2P22	2	131030052	131031084
MTCO1P7	2	131031481	131033022
MTCO2P7	2	131033165	131033830
MTATP6P7	2	131034080	131034760
MTCO3P7	2	131034757	131035530
MTND4P27	2	131036330	131037683
MTND5P29	2	131037872	131039678
MTND6P8	2	131039658	131040179
MTCYBP8	2	131040252	131040902
RPL19P4	2	131051395	131051978
TEKT4P3	2	131071507	131071984
CCDC115	2	131095814	131099922
IMP4	2	131099798	131105383
PTPN18	2	131113580	131132982
FAR2P2	2	131174328	131188936
KLF2P2	2	131185304	131186798
CYP4F62P	2	131187400	131199048
POTEI	2	131217028	131267239
RNU6-473P	2	131255316	131255422
CFC1B	2	131278770	131285579
PRSS40B	2	131296668	131307456
PRSS40A	2	131328402	131341734
CFC1	2	131350339	131357123
POTEJ	2	131369054	131415664
RNU6-848P	2	131380411	131380517
CYP4F30P	2	131437623	131449264
FAR2P3	2	131447706	131476404
KLF2P3	2	131449816	131451343
GPR148	2	131486643	131487909
AMER3	2	131513008	131525707
CYCSP8	2	131534219	131534530
ARHGEF4	2	131594489	131804836
FAM168B	2	131805449	131851033
PLEKHB2	2	131862420	132111282
NEK2P4	2	131935191	131936519
NF1P8	2	131947407	131955066
MED15P8	2	131958715	131960514
POTEE	2	131975882	132022965
RNU6-127P	2	131987180	131987286
FAR2P4	2	132046326	132066641
KLF2P4	2	132056793	132058017
ARHGAP42P1	2	132085749	132088430
SSBP3P2	2	132109787	132110812
RAB6D	2	132118066	132121731
MTCYBP10	2	132126635	132127284
MTND6P10	2	132127358	132127874
MTND5P23	2	132127994	132129648
MTND4P21	2	132129867	132131223
MTCO3P18	2	132137726	132138486
MTATP6P4	2	132138489	132139163
MTCO2P18	2	132139413	132140070
MTCO1P18	2	132140216	132141634
MTND2P18	2	132142034	132143063
MTND1P26	2	132143273	132143810
MED15P3	2	132152790	132153115
LINC01120	2	132160474	132166622
GNAQP1	2	132181374	132182440
NOC2LP2	2	132200167	132202467
RHOQP2	2	132218533	132219150
MZT2A	2	132222473	132250316
TUBA3D	2	132233666	132240507
MIR4784	2	132248733	132248809
SMPD4BP	2	132250386	132279146
CCDC74A	2	132285248	132291239
MED15P4	2	132292760	132294561
POTEKP	2	132349325	132384839
RNU6-617P	2	132360363	132360469
LINC01087	2	132394598	132407188
GRAMD4P8	2	132404277	132405945
NBEAP2	2	132479948	132524973
TOMM40P4	2	132480826	132481852
CDRT15P3	2	132552534	132559234
LINC01945	2	132741510	132751734
ANKRD30BL	2	132905164	133015542
RNU6-1132P	2	132909816	132909922
RNA5-8SP5	2	133010727	133010878
MIR663B	2	133014539	133014653
CDC27P1	2	133019901	133020615
ZNF806	2	133066882	133076309
FAM201B	2	133110240	133112412
RNU6-175P	2	133164325	133164431
GPR39	2	133174147	133404132
YBX1P7	2	133246127	133246661
RN7SKP103	2	133281190	133281509
LYPD1	2	133402426	133429152
NCKAP5	2	133429374	134326034
NCKAP5-AS1	2	133673130	133689067
NCKAP5-AS2	2	134022540	134042334
RNU6-579P	2	134091401	134091502
RN7SKP154	2	134148681	134148970
NCKAP5-IT1	2	134189237	134191468
RN7SKP93	2	134353662	134353970
MGAT5	2	134877554	135212192
MIR3679	2	134884696	134884763
RNA5SP104	2	134988766	134988883
EDDM3CP	2	135077225	135077649
TMEM163	2	135213330	135476570
CCNT2-AS1	2	135493034	135676280
VDAC2P4	2	135554739	135555449
ACMSD	2	135596117	135659604
MIR5590	2	135615390	135615443
CCNT2	2	135675805	135716912
MAP3K19	2	135722061	135805038
